,dataset,join,operator,time_baseline,time_amalur,complexity_baseline,complexity_amalur,TR,FR
175,movie,outer,Row summation T,0.06862801710764567,0.01217796007792155,21855724.0,89390.0,1.6296795952782461,0.4037227889367967
176,movie,outer,Column summation T,0.027225168546040852,0.012205076217651368,21855724.0,89390.0,1.6296795952782461,0.4037227889367967
177,movie,outer,LMM T,0.029243890444437662,0.033346128463745114,133726454560.0,133508791220.0,1.6296795952782461,0.4037227889367967
178,movie,outer,RMM T,0.24739822546641033,0.027333656946818035,31864472283126.0,167394978240.0,1.6296795952782461,0.4037227889367967
179,movie,outer,Linear Regression,7.21645085811615,2.1337938706080117,26745290912.0,13455042868.0,1.6296795952782461,0.4037227889367967
180,walmart,inner,Left multiply,0.006544264157613119,0.0003826459248860677,5901980.0,445105.0,176.75890985324946,2440.0
181,walmart,inner,Row summation,0.009478060404459636,0.008089653650919596,5901980.0,445105.0,176.75890985324946,2440.0
182,walmart,inner,Column summation,0.018772665659586588,0.007400361696879069,5901980.0,445105.0,176.75890985324946,2440.0
183,walmart,inner,Materialization,,0.09203948974609374,,,,
184,walmart,inner,LMM,0.02278587023417155,0.0545689582824707,10349543500.0,10353192600.0,176.75890985324946,2440.0
185,walmart,inner,RMM,0.005069239934285482,0.0347143570582072,14466317990.0,1146086115.0,176.75890985324946,2440.0
186,walmart,inner,Left multiply T,0.007172028223673503,0.000502936045328776,5901980.0,445105.0,176.75890985324946,2440.0
187,walmart,inner,Row summation T,0.018921073277791342,0.007467579841613769,5901980.0,445105.0,176.75890985324946,2440.0
188,walmart,inner,Column summation T,0.009736784299214681,0.007489538192749024,5901980.0,445105.0,176.75890985324946,2440.0
189,walmart,inner,LMM T,0.006077814102172852,0.03302942117055257,10349543500.0,10294974750.0,176.75890985324946,2440.0
190,walmart,inner,RMM T,0.06387027899424234,0.03390833536783854,4265310357600.0,1974910008350.0,176.75890985324946,2440.0
191,walmart,inner,Linear Regression,1.947425333658854,1.6497413158416747,2069908700.0,2064816735.0,176.75890985324946,2440.0
192,walmart,left,Left multiply,0.004026134808858235,0.0005090236663818359,5901980.0,445105.0,176.75890985324946,2440.0
193,walmart,left,Row summation,0.009795355796813964,0.008957457542419434,5901980.0,445105.0,176.75890985324946,2440.0
194,walmart,left,Column summation,0.018803183237711588,0.010100102424621582,5901980.0,445105.0,176.75890985324946,2440.0
195,walmart,left,Materialization,,0.09067409038543701,,,,
